place,lat,lon,population,foreign,native,hh_income,pct_english,pct_asian_lang,pct_spanish,pct_euro,pct_asian,pct_white,pct_black,pct_other,pct_hispanic,pct_full_time,pct_no_work,pct_part_time,pct_urban,less_than_hs,less_bachelors,doctorate
NewSarpyCDP_LA,29.9789,-90.3855,1568.0,0.0,1.0,missing,0.9373,0.0,0.0118,0.051,0.0006,0.4662,0.5159,0.0,0.0172,0.7922,0.1659,0.0793,0.0,missing,missing,missing
NewSmyrnaBeachcit_FL,29.0306,-80.9253,20048.0,0.0552,0.9448,35372.0,0.8952,0.0043,0.0465,0.0513,0.005,0.9157,0.0627,0.0027,0.015,0.7339,0.2108,0.076,0.0,0.1192,0.5447,0.009
NewStraitsvillevil_OH,39.5813,-82.2356,774.0,0.0,1.0,27557.0,0.9754,0.0,0.0123,0.0123,0.0,0.9767,0.0013,0.0,0.0233,0.809,0.1323,0.0838,0.0,missing,missing,missing
NewTazewelltown_TN,36.4378,-83.6076,2871.0,0.0028,0.9972,21875.0,0.9773,0.0,0.0193,0.0034,0.0042,0.962,0.0146,0.0,0.0104,0.7894,0.1687,0.065,0.0,missing,missing,missing
NewTerritoryCDP_TX,29.5947,-95.6776,13861.0,0.234,0.766,93972.0,0.6015,0.141,0.1004,0.1296,0.2607,0.5756,0.1002,0.0276,0.0835,0.8241,0.1373,0.0618,0.0,0.065,0.2981,0.0298
NewWindsorCDP_NY,41.476,-74.0281,9077.0,0.07,0.93,50316.0,0.8328,0.0067,0.105,0.0515,0.0141,0.8576,0.061,0.004,0.1152,0.8372,0.121,0.0676,0.0,missing,missing,missing
NewWindsortown_MD,39.5435,-77.1041,1303.0,0.0173,0.9827,missing,0.948,0.0,0.0249,0.0208,0.0008,0.9524,0.0384,0.0062,0.0092,0.8706,0.0833,0.0735,0.0,missing,missing,missing
Newarkcity_TX,33.0044,-97.4856,887.0,0.0226,0.9774,34750.0,0.9288,0.0065,0.0583,0.0065,0.0045,0.8997,0.0023,0.0,0.1071,0.8744,0.0837,0.0822,0.0,missing,missing,missing
Newberrytown_SC,34.2777,-81.6166,10580.0,0.0711,0.9289,27064.0,0.926,0.0,0.0547,0.0173,0.006,0.5285,0.4136,0.002,0.0949,0.7937,0.1579,0.095,0.0,0.281,0.4193,0.0055
Newberryvillage_MI,46.3523,-85.5106,2686.0,0.0145,0.9855,29052.0,0.9579,0.0014,0.0183,0.0042,0.0067,0.6992,0.1929,0.0183,0.0369,0.5581,0.3934,0.0677,0.0,0.287,0.53,0.0
Newburghcity_NY,41.5032,-74.0196,28259.0,0.2034,0.7966,30332.0,0.6404,0.0024,0.2993,0.0556,0.0076,0.4233,0.3296,0.0023,0.363,0.8207,0.1375,0.0744,0.0,0.317,0.4623,0.0048
Newburgvillage_WI,43.4314,-88.0476,1119.0,0.0064,0.9936,56726.0,0.9553,0.005,0.0149,0.0248,0.0027,0.9732,0.0,0.0,0.0179,0.8941,0.0623,0.0834,0.0,0.0704,0.6753,0.0
Newburyportcity_MA,42.8124,-70.8774,17189.0,0.0411,0.9589,58557.0,0.9038,0.0041,0.0209,0.0696,0.0061,0.9811,0.0042,0.0016,0.0088,0.8674,0.0968,0.0617,0.0,missing,missing,missing
Newmancity_IL,39.798,-87.9863,956.0,0.0051,0.9949,30417.0,0.9682,0.0122,0.0122,0.0024,0.0,0.9885,0.0073,0.0049,0.001,0.8501,0.1137,0.0568,0.0,missing,missing,missing
NewmarketCDP_NH,43.0774,-70.9395,5124.0,0.038,0.962,40561.0,0.873,0.0304,0.0444,0.0487,0.0275,0.9389,0.0084,0.0035,0.0199,0.8976,0.0417,0.0921,0.0,missing,missing,missing
Newportcity_AR,35.6118,-91.2622,7811.0,0.0028,0.9972,24151.0,0.9592,0.0026,0.0195,0.0153,0.0033,0.6657,0.3176,0.0034,0.0113,0.7817,0.1943,0.0591,0.0,missing,missing,missing
Newportvillage_NE,42.6008,-99.328,98.0,0.0,1.0,missing,1.0,0.0,0.0,0.0,0.0,0.9898,0.0,0.0,0.0204,0.7838,0.2432,0.0135,0.0,missing,missing,missing
NewtonHamiltonboro_PA,40.3928,-77.8351,272.0,0.0,1.0,missing,0.97,0.0,0.0,0.03,0.0,0.989,0.0,0.0,0.0037,0.8821,0.0923,0.0513,0.0,missing,missing,missing
Newtoncity_TX,30.8504,-93.7541,2459.0,0.0021,0.9979,26667.0,0.9621,0.0028,0.0239,0.0112,0.011,0.5978,0.316,0.0,0.1228,0.7586,0.2158,0.0399,0.0,0.2127,0.6095,0.0
Newtontown_AL,31.3445,-85.5927,1708.0,0.004,0.996,33021.0,0.9461,0.0028,0.0401,0.0111,0.0006,0.822,0.1552,0.0,0.0123,0.8292,0.1445,0.0482,0.0,missing,missing,missing
Nianticvillage_IL,39.8549,-89.1655,738.0,0.0027,0.9973,41184.0,0.9737,0.0,0.015,0.0113,0.0,0.9959,0.0,0.0,0.0068,0.8268,0.1099,0.1024,0.0,0.0795,0.7373,0.0
Nicholasvillecity_KY,37.8827,-84.5766,19680.0,0.01,0.99,37462.0,0.9447,0.0087,0.0268,0.0191,0.0028,0.9305,0.0438,0.0007,0.015,0.867,0.0862,0.0781,0.0,0.1886,0.5865,0.0048
Nicholsvillage_NY,42.02,-76.3685,574.0,0.0052,0.9948,38864.0,0.9021,0.0,0.0361,0.0619,0.0017,0.9965,0.0017,0.0,0.007,0.7931,0.1379,0.0887,0.0,missing,missing,missing
NilandCDP_CA,33.2386,-115.5139,1143.0,0.2066,0.7934,missing,0.4432,0.1159,0.4205,0.0205,0.0455,0.5477,0.0315,0.0,0.5529,0.6933,0.2519,0.0602,0.0,missing,missing,missing
Nilescity_OH,41.1853,-80.7572,20932.0,0.0186,0.9814,35615.0,0.9251,0.0033,0.0163,0.051,0.0033,0.9598,0.0227,0.0044,0.0083,0.8416,0.1206,0.0643,0.0,missing,missing,missing
