"place,population,foreign,native,hh_income,pct_english,pct_asian_lang,pct_spanish,pct_euro,pct_asian,pct_white,pct_black,pct_other,pct_hispanic,pct_full_time,pct_no_work,pct_part_time,pct_urban"
"Cowartstown_al,"	"1546.0,0.0077,0.9923,36688.0,0.9444,0.0,0.0477,0.0079,0.0039,0.8493,0.1235,0.0,0.0052,0.6189,0.2484,0.1327,0.0"
"Creolatown_al,"	"2002.0,0.001,0.999,missing,0.9472,0.0,0.0306,0.0181,0.001,0.8636,0.0989,0.0042,0.0065,0.5543,0.3363,0.1094,0.0"
"Crossvilletown_al,"	"1431.0,0.0074,0.9926,31394.0,0.9882,0.0039,0.0059,0.002,0.0014,0.9769,0.0007,0.0,0.0224,0.522,0.391,0.087,0.0"
"Cubatown_al,"	"363.0,0.0048,0.9952,50795.0,0.9415,0.0,0.0117,0.0468,0.0,0.9174,0.0771,0.0,0.0028,0.5043,0.3504,0.1453,0.0"
"Cullmancity_al,"	"13995.0,0.0339,0.9661,29164.0,0.9393,0.0042,0.0406,0.016,0.0045,0.9643,0.0036,0.0,0.0485,0.4908,0.395,0.1142,0.0"
"Dadevillecity_al,"	"3212.0,0.001,0.999,25266.0,0.9651,0.0,0.0286,0.0063,0.0028,0.5324,0.4508,0.0,0.0081,0.5137,0.4119,0.0744,0.0"
"Dalevillecity_al,"	"4653.0,0.0725,0.9275,34473.0,0.8797,0.043,0.0287,0.0486,0.0365,0.642,0.2536,0.0,0.0393,0.5439,0.3066,0.1495,0.0"
"Daphnecity_al,"	"16581.0,0.0271,0.9729,52603.0,0.9317,0.0035,0.0387,0.0251,0.0061,0.8533,0.1235,0.0011,0.0153,0.5945,0.2665,0.1389,0.0"
"DauphinIslandtown_al,"	"1371.0,0.0226,0.9774,44219.0,0.9193,0.0088,0.0351,0.0333,0.0058,0.9643,0.0044,0.0035,0.0095,0.5031,0.3523,0.1446,0.0"
"Davistontown_al,"	"267.0,0.0,1.0,missing,0.9386,0.0175,0.0439,0.0,0.0,0.8202,0.1798,0.0,0.015,0.4364,0.4364,0.1273,0.0"
"Daytontown_al,"	"60.0,0.0,1.0,12500.0,1.0,0.0,0.0,0.0,0.0,0.35,0.65,0.0,0.0,0.2778,0.5833,0.1389,0.0"
"Deatsvilletown_al,"	"340.0,0.0,1.0,40938.0,0.9625,0.0,0.0125,0.025,0.0,0.9735,0.0147,0.0,0.0,0.6285,0.2322,0.1393,0.0"
"Decaturcity_al,"	"53929.0,0.0448,0.9552,37192.0,0.9294,0.0041,0.0477,0.0169,0.007,0.755,0.1956,0.0019,0.0564,0.5462,0.3336,0.1202,0.0"
"Demopoliscity_al,"	"7540.0,0.0177,0.9823,26481.0,0.9465,0.0,0.0397,0.0105,0.002,0.4775,0.509,0.0033,0.0098,0.4499,0.4302,0.12,0.0"
"Detroittown_al,"	"247.0,0.0,1.0,missing,0.9759,0.0,0.0241,0.0,0.0,0.7935,0.2065,0.0,0.0,0.4362,0.4094,0.1544,0.0"
"DodgeCitytown_al,"	"612.0,0.0031,0.9969,30417.0,0.95,0.0,0.0273,0.0227,0.0,0.9951,0.0,0.0,0.0033,0.52,0.3684,0.1116,0.0"
"Doracity_al,"	"2413.0,0.0067,0.9933,21458.0,0.9445,0.004,0.0258,0.0198,0.0021,0.8061,0.1666,0.0059,0.0012,0.427,0.4918,0.0812,0.0"
"Dothancity_al,"	"57737.0,0.0204,0.9796,35000.0,0.9569,0.0063,0.0207,0.0153,0.0085,0.6733,0.3011,0.0007,0.0132,0.5456,0.3354,0.119,0.0"
"DoubleSpringstown_al,"	"1003.0,0.0,1.0,missing,0.9769,0.0,0.0185,0.0046,0.0,0.9751,0.003,0.0,0.011,0.5146,0.3662,0.1192,0.0"
"Douglastown_al,"	"530.0,0.009,0.991,missing,0.9604,0.0,0.0396,0.0,0.0019,0.9679,0.0,0.0,0.0264,0.5917,0.3486,0.0596,0.0"
"Doziertown_al,"	"391.0,0.0055,0.9945,13750.0,0.9524,0.0,0.0476,0.0,0.0,0.5703,0.3964,0.0,0.0128,0.331,0.5669,0.1021,0.0"
"Duttontown_al,"	"310.0,0.0058,0.9942,missing,0.912,0.0,0.048,0.04,0.0,0.971,0.0,0.0,0.0065,0.5312,0.3086,0.1602,0.0"
"EastBrewtoncity_al,"	"2496.0,0.0086,0.9914,23125.0,0.9569,0.002,0.0225,0.0157,0.0,0.8029,0.1707,0.0029,0.0196,0.4976,0.4102,0.0922,0.0"
"Eclectictown_al,"	"1037.0,0.0037,0.9963,missing,0.9556,0.0,0.0339,0.0104,0.001,0.7811,0.1919,0.0,0.0183,0.4841,0.4114,0.1045,0.0"
"EdgewaterCDP_al,"	"730.0,0.0,1.0,21322.0,1.0,0.0,0.0,0.0,0.0,0.3795,0.611,0.0,0.011,0.5255,0.3724,0.102,0.0"
"Edwardsvilletown_al,"	"186.0,0.0,1.0,missing,1.0,0.0,0.0,0.0,0.0,0.9839,0.0054,0.0,0.0054,0.4943,0.392,0.1136,0.0"
"Elbacity_al,"	"4185.0,0.0012,0.9988,24021.0,0.9733,0.0,0.0222,0.0044,0.0002,0.6392,0.3429,0.0,0.0103,0.4359,0.4614,0.1027,0.0"
"Elbertatown_al,"	"552.0,0.0543,0.9457,22375.0,0.8652,0.0,0.0565,0.0783,0.0,0.9511,0.0018,0.0,0.038,0.4513,0.4418,0.1069,0.0"
"Eldridgetown_al,"	"184.0,0.011,0.989,missing,1.0,0.0,0.0,0.0,0.0,0.9565,0.0435,0.0,0.0217,0.3944,0.5704,0.0352,0.0"
"Elkmonttown_al,"	"470.0,0.0043,0.9957,missing,0.9669,0.0,0.0,0.0331,0.0,0.834,0.1511,0.0,0.0128,0.5673,0.3725,0.0602,0.0"
"Elmoretown_al,"	"199.0,0.0,1.0,missing,0.9529,0.0,0.0471,0.0,0.0,0.6784,0.2764,0.0,0.0151,0.4503,0.4238,0.1258,0.0"
"Emelletown_al,"	"31.0,0.0,1.0,missing,1.0,0.0,0.0,0.0,0.0,0.0645,0.9355,0.0,0.0,0.4,0.6,0.0,0.0"
"Enterprisecity_al,"	"21178.0,0.0432,0.9568,37661.0,0.8892,0.0173,0.0564,0.0358,0.016,0.7162,0.2295,0.0013,0.0388,0.5348,0.3452,0.1201,0.0"
"Epestown_al,"	"206.0,0.0,1.0,25625.0,0.9195,0.0,0.0345,0.046,0.0,0.1553,0.8398,0.0,0.0,0.4509,0.5029,0.0462,0.0"
"Ethelsvilletown_al,"	"81.0,0.0169,0.9831,missing,1.0,0.0,0.0,0.0,0.0,0.8642,0.1358,0.0,0.0,0.5192,0.4231,0.0577,0.0"
"Eufaulacity_al,"	"13908.0,0.0174,0.9826,27910.0,0.9485,0.0024,0.035,0.0142,0.0047,0.5728,0.4042,0.0,0.0153,0.5258,0.3622,0.112,0.0"
"Eunolatown_al,"	"182.0,0.0,1.0,missing,1.0,0.0,0.0,0.0,0.0,0.8956,0.0879,0.0,0.0055,0.4968,0.4586,0.0446,0.0"
"Eutawcity_al,"	"1878.0,0.0053,0.9947,23056.0,0.975,0.0026,0.0105,0.0118,0.0021,0.3301,0.6603,0.0,0.0037,0.403,0.4987,0.0983,0.0"
"Evatown_al,"	"491.0,0.0087,0.9913,missing,0.9672,0.0,0.0219,0.0109,0.0,0.9837,0.0,0.0,0.0041,0.5077,0.3495,0.1429,0.0"
